id_no,title,title_href,logoimage_src,comp_name,comp_name_href,rating_href,main_2,review,expwdth,ni_job_tuple_icon,locwdth,job_desc,dot_gt,dot_gt_2,dot_gt_3,dot_gt_4,dot_gt_5,dot_gt_6,dot_gt_7,dot_gt_8,job_post_day
2051,Application Developer,https://www.naukri.com/job-listings-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-3-to-5-years-250124912077,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,45798  Reviews,3-5 Yrs,Not disclosed,Bangalore/Bengaluru,Minimum 3 year(s) of experience is required. Educational Qualification : Requires minim...,MySQL,Application development,Oracle,Ruby,Python,GIT,MongoDB,Project delivery,5 Days Ago
2052,Application Developer,https://www.naukri.com/job-listings-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-3-to-5-years-250124912075,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,45798  Reviews,3-5 Yrs,Not disclosed,Bangalore/Bengaluru,Minimum 3 year(s) of experience is required. Educational Qualification : Any Graduation...,Debugging,Integration testing,Unit testing,Adobe,Data dictionary,bdc,sap sd,badi,5 Days Ago
2053,Application Developer,https://www.naukri.com/job-listings-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-5-to-7-years-250124912071,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,45798  Reviews,5-7 Yrs,Not disclosed,Bangalore/Bengaluru,Minimum 5 year(s) of experience is required. Educational Qualification : 15 Years of fu...,data services,devops,microsoft azure,computer science,build,educational qualification,software engineering,application development,5 Days Ago
2054,Industry X - Software Engineering - Application Developer - 11,https://www.naukri.com/job-listings-industry-x-software-engineering-application-developer-11-accenture-solutions-pvt-ltd-bangalore-bengaluru-2-to-5-years-250124912069,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,45798  Reviews,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,About Accenture:Accenture is a global professional services company with leading capabi...,Engineering services,Front end,Data management,User interface designing,HTML,Javascript,Manufacturing operations,X,5 Days Ago
2055,Data Platform Engineer,https://www.naukri.com/job-listings-data-platform-engineer-accenture-solutions-pvt-ltd-bangalore-bengaluru-10-to-12-years-250124912060,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,45798  Reviews,10-12 Yrs,Not disclosed,Bangalore/Bengaluru,Project Role :Data Platform EngineerProject Role Description :Assists with the data pla...,Coding,Shell scripting,Data quality,Python,GIT,SCALA,SSI,Programming,5 Days Ago
2056,SailPoint IdentityNow-Security Architect,https://www.naukri.com/job-listings-sailpoint-identitynow-security-architect-accenture-solutions-pvt-ltd-bangalore-bengaluru-5-to-10-years-250124912051,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,45798  Reviews,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,Educational Qualification :Bachelor or college degree in related field or equivalent wo...,cloud security,Architectural design,sailpoint,SQL,Transition,Apache Tomcat,Cloud,Apache,5 Days Ago
2057,Solution Architecture-Solution Architect,https://www.naukri.com/job-listings-solution-architecture-solution-architect-accenture-solutions-pvt-ltd-bangalore-bengaluru-12-to-14-years-250124912042,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,45798  Reviews,12-14 Yrs,Not disclosed,Bangalore/Bengaluru,"Educational Qualification :1- University degree is a must, preferably MBA from leading ...",VMware,Solution design,Automation,Presales,openstack,Design,Architecture,Development,5 Days Ago
2058,SAP Master Data Governance MDG Tool-Application Support Engineer,https://www.naukri.com/job-listings-sap-master-data-governance-mdg-tool-application-support-engineer-accenture-solutions-pvt-ltd-bangalore-bengaluru-3-to-5-years-250124912033,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,45798  Reviews,3-5 Yrs,Not disclosed,Bangalore/Bengaluru,Educational Qualification :Candidate must have completed 15 years of full-time educatio...,Data dictionary,Application support,SAP,data governance,ABAP,SIDE,Project implementation,Data modeling,5 Days Ago
2059,Advanced Embedded System Engineering-Software Development Engineer,https://www.naukri.com/job-listings-advanced-embedded-system-engineering-software-development-engineer-accenture-solutions-pvt-ltd-bangalore-bengaluru-5-to-10-years-250124912024,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,45798  Reviews,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,Must have skills :Advanced Embedded System Engineering Educational Qualification :Bache...,RTOS,Linux,Test cases,Automotive,Python,Communication protocols,JIRA,Software engineering,5 Days Ago
2060,Application Developer,https://www.naukri.com/job-listings-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-3-to-5-years-250124912020,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,45798  Reviews,3-5 Yrs,Not disclosed,Bangalore/Bengaluru,Minimum 3 year(s) of experience is required. Educational Qualification : BE,Web services,Front end,Javascript,Programming,Issue resolution,Spring mvc,spring security,microsoft azure,5 Days Ago
2061,Application Developer,https://www.naukri.com/job-listings-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-3-to-5-years-250124912018,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,45798  Reviews,3-5 Yrs,Not disclosed,Bangalore/Bengaluru,"Technical Experience :1 experience with HTML, JavaScript, jQuery, Nodejsexperience with...",Backend,jQuery,Debugging,Troubleshooting,SQL,Cloud,Javascript,Application development,5 Days Ago
2062,Application Developer,https://www.naukri.com/job-listings-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-8-to-10-years-250124912016,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,45798  Reviews,8-10 Yrs,Not disclosed,Bangalore/Bengaluru,Must have Skills :SAP ABAP Development for HANAGood to Have Skills : No Technology Spec...,Abap dictionary,Solution design,Team management,Debugging,SAP ABAP,Programming,Design,Application development,5 Days Ago
2063,Application Developer,https://www.naukri.com/job-listings-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-3-to-5-years-250124912013,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,45798  Reviews,3-5 Yrs,Not disclosed,Bangalore/Bengaluru,"Project Role :Application DeveloperProject Role Description :Design, build and configur...",MySQL,MongoDB,J2Ee,Oracle,Technical documentation,spring boot,Web services,microservices,5 Days Ago
2064,Application Developer,https://www.naukri.com/job-listings-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-3-to-5-years-250124912007,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,45798  Reviews,3-5 Yrs,Not disclosed,Bangalore/Bengaluru,"Project Role :Application DeveloperProject Role Description :Design, build and configur...",Agile,Application development,Oracle,SDLC,SQL,Enterprise applications,Information technology,Technical documentation,5 Days Ago
2065,Application Developer,https://www.naukri.com/job-listings-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-5-to-7-years-250124912005,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,45798  Reviews,5-7 Yrs,Not disclosed,Bangalore/Bengaluru,Minimum 5 year(s) of experience is required. Educational Qualification : Minimum 15 yea...,Change management,Warehouse,SAP R3,SAP SCM,Enterprise structure,Training,SCM,R3,5 Days Ago
2066,Application Developer,https://www.naukri.com/job-listings-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-5-to-7-years-250124912001,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,45798  Reviews,5-7 Yrs,Not disclosed,Bangalore/Bengaluru,"Project Role Description : Design, build and configure applications to meet business pr...",jQuery,Javascript,HTML,Ajax,Front end,MVC,Application development,Application,5 Days Ago
2067,Operational Technology (OT) Security-Security Architect,https://www.naukri.com/job-listings-operational-technology-ot-security-security-architect-accenture-solutions-pvt-ltd-bangalore-bengaluru-2-to-5-years-250124911995,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,45798  Reviews,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,Project Role :Security Architect Project Role Description :Define the cloud security fr...,Solution design,cloud security,Strategic planning,Operations,Proposal development,Sales support,Sales,Technology,5 Days Ago
2068,ASP.NET MVC-Application Developer,https://www.naukri.com/job-listings-asp-net-mvc-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-2-to-5-years-250124911982,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,45798  Reviews,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,"Project Role :Application Developer Project Role Description :Design, build and configu...",C#,Debugging,Database administration,HTML,SQL,Web services,ASP.Net MVC,database development,5 Days Ago
2069,PowerFactory-Application Developer,https://www.naukri.com/job-listings-powerfactory-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-2-to-5-years-250124911977,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,45798  Reviews,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,Educational Qualification :A Graduation in Electrical / Electronics/Instrumentation Eng...,Windows OS,Communication protocols,Instrumentation,Dms,SCADA,Network infrastructure,Control system,IT infrastructure,5 Days Ago
2070,Japanese-Application Developer,https://www.naukri.com/job-listings-japanese-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-5-to-10-years-250124911973,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,45798  Reviews,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,"Project Role :Application Developer Project Role Description :Design, build and configu...",SAP ABAP,SAP FI,Stakeholder management,Japanese,Translation,JLPT,Abap,SAP,5 Days Ago
2071,Collibra Data Governance-Application Developer,https://www.naukri.com/job-listings-collibra-data-governance-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-2-to-5-years-250124911971,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,45798  Reviews,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,Must have skills :Collibra Data Governance Good to have skills :No Technology Specializ...,metadata,Master data management,Eclipse,data governance,devops,Scripting,Management,Data,5 Days Ago
2072,Apigee-Application Developer,https://www.naukri.com/job-listings-apigee-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-3-to-5-years-250124911970,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,45798  Reviews,3-5 Yrs,Not disclosed,Bangalore/Bengaluru,"Project Role :Application Developer Project Role Description :Design, build and configu...",SOA,Testing tools,Javascript,Troubleshooting,Python,Backend,JSON,Test cases,5 Days Ago
2073,Multiplatform Front End Development React-Application Developer,https://www.naukri.com/job-listings-multiplatform-front-end-development-react-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-2-to-5-years-250124911964,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,45798  Reviews,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,"Project Role :Application Developer Project Role Description :Design, build and configu...",Front end,DOM,Web development,HTML,Quality tools,Translation,devops,Javascript,5 Days Ago
2074,API Management-Software Development Engineer,https://www.naukri.com/job-listings-api-management-software-development-engineer-accenture-solutions-pvt-ltd-bangalore-bengaluru-2-to-5-years-250124911961,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,45798  Reviews,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,Must have skills :API Management Good to have skills :No Technology Specialization Mini...,Automation,Testing tools,Javascript,Troubleshooting,Python,github,cloud security,JSON,5 Days Ago
2075,Advanced Embedded System Engineering-Test Automation Lead,https://www.naukri.com/job-listings-advanced-embedded-system-engineering-test-automation-lead-accenture-solutions-pvt-ltd-bangalore-bengaluru-5-to-10-years-250124911960,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,45798  Reviews,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,Must have skills :Advanced Embedded System Engineering Educational Qualification :Bache...,Ethernet,Test execution,Test cases,JIRA,Automotive,UDS,Test design,Case,5 Days Ago
2076,Advanced Embedded System Engineering-Software Development Engineer,https://www.naukri.com/job-listings-advanced-embedded-system-engineering-software-development-engineer-accenture-solutions-pvt-ltd-bangalore-bengaluru-2-to-5-years-250124911954,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,45798  Reviews,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,"Must have skills :Advanced Embedded System Engineering Good to have skills :Linux, C++ ...",Linux,Simulation,QNX,Distribution system,Automotive,AUTOSAR,System engineering,CAPL,5 Days Ago
2077,Oracle Supply Planning Cloud-Application Developer,https://www.naukri.com/job-listings-oracle-supply-planning-cloud-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-5-to-10-years-250124911953,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,45798  Reviews,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,Educational Qualification : Graduate or aboveMust have skills :Oracle Supply Planning C...,Demand planning,Excel,Cloud,Supply planning,Oracle,educational qualification,ebs,oracle cloud,5 Days Ago
2078,QA Engineer,https://www.naukri.com/job-listings-qa-engineer-ibm-india-pvt-limited-bangalore-bengaluru-2-to-5-years-250124911910,https://www.naukri.com/hotjobs/images/v3/ibmsep14.gif,IBM,https://www.naukri.com/ibm-jobs-careers-16987,https://www.ambitionbox.com/reviews/ibm-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.1,19553  Reviews,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,Your Role and ResponsibilitiesSoftware Networking is looking for QA Automation Engineer...,Backend,NoSQL,Artificial Intelligence,Machine learning,Python,Project development,Networking products,Automation testing,5 Days Ago
2079,Technical Architect: Red Hat Platform,https://www.naukri.com/job-listings-technical-architect-red-hat-platform-ibm-india-pvt-limited-bangalore-bengaluru-4-to-9-years-250124911875,https://www.naukri.com/hotjobs/images/v3/ibmsep14.gif,IBM,https://www.naukri.com/ibm-jobs-careers-16987,https://www.ambitionbox.com/reviews/ibm-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.1,19553  Reviews,4-9 Yrs,Not disclosed,Bangalore/Bengaluru,"Experience in Architecture, Design, Build and Operationalize Redhat OpenShift environme...",Webmethods,TIBCO,Presales,Middleware,Architecture,RHEL,High level design,RED,5 Days Ago
2080,Software developer,https://www.naukri.com/job-listings-software-developer-ibm-india-pvt-limited-bangalore-bengaluru-2-to-5-years-250124911867,https://www.naukri.com/hotjobs/images/v3/ibmsep14.gif,IBM,https://www.naukri.com/ibm-jobs-careers-16987,https://www.ambitionbox.com/reviews/ibm-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.1,19553  Reviews,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,You may have leadership responsibility of tracking work for 1 or more people and giving...,Product management,Automation,Troubleshooting,Application software,Python,Architecture,Programming,Application,5 Days Ago
2081,Principal Engineer - Incubation,https://www.naukri.com/job-listings-principal-engineer-incubation-ibm-india-pvt-limited-bangalore-bengaluru-5-to-8-years-250124911866,https://www.naukri.com/hotjobs/images/v3/ibmsep14.gif,IBM,https://www.naukri.com/ibm-jobs-careers-16987,https://www.ambitionbox.com/reviews/ibm-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.1,19553  Reviews,5-8 Yrs,Not disclosed,Bangalore/Bengaluru,Required Technical and Professional Expertise . Atleast 5+ years of relevant experience...,Automation,Linux kernel,Ethernet,Open source,OSPF,Product management,ISIS,Linux,5 Days Ago
2082,SAP For Utilities Cust Financial Mgt FICA-Application Lead,https://www.naukri.com/job-listings-sap-for-utilities-cust-financial-mgt-fica-application-lead-accenture-solutions-pvt-ltd-bangalore-bengaluru-12-to-14-years-250124911829,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,45798  Reviews,12-14 Yrs,Not disclosed,Bangalore/Bengaluru,br/>. Professional Attributes :1:Resource should have good communication skills 2:Resou...,SAP FICO,Resource allocation,Project planning,ABAP,SQL,Accounting,Finance,sap hana,5 Days Ago
2083,Oracle Hyperion Planning-Application Lead,https://www.naukri.com/job-listings-oracle-hyperion-planning-application-lead-accenture-solutions-pvt-ltd-bangalore-bengaluru-2-to-5-years-250124911823,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,45798  Reviews,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,Good to have knowledge on Additional skills on FDMEE / DRM 5:Knowledge on Extensive wor...,Automation,metadata,Oracle,SDLC,Hyperion planning,Business transformation,business rules,Scripting,5 Days Ago
2084,SAP ABAP Object Oriented Development-Application Developer,https://www.naukri.com/job-listings-sap-abap-object-oriented-development-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-10-to-15-years-250124911809,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,45798  Reviews,10-15 Yrs,Not disclosed,Bangalore/Bengaluru,"Project Role :Application Developer Project Role Description :Design, build and configu...",Procurement,Automation,SAP MM,Scrum,SRM,TAM,Stakeholder management,Abap,5 Days Ago
2085,SailPoint IdentityIQ-Security Architect,https://www.naukri.com/job-listings-sailpoint-identityiq-security-architect-accenture-solutions-pvt-ltd-bangalore-bengaluru-2-to-5-years-250124911796,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,45798  Reviews,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,Project Role :Security Architect Project Role Description :Define the cloud security fr...,LDAP,XML,HTML,SQL,cloud security,Access management,sailpoint,Management,5 Days Ago
2086,Spring Boot-Application Developer,https://www.naukri.com/job-listings-spring-boot-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-2-to-5-years-250124911790,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,45798  Reviews,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,"Project Role :Application Developer Project Role Description :Design, build and configu...",Backend,Version control,GIT,Coding,Software solutions,spring boot,SQL queries,Spring mvc,5 Days Ago
2087,SAP For Oil & Gas Joint Venture Accounting-Application Lead,https://www.naukri.com/job-listings-sap-for-oil-gas-joint-venture-accounting-application-lead-accenture-solutions-pvt-ltd-bangalore-bengaluru-10-to-12-years-250124911784,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,45798  Reviews,10-12 Yrs,Not disclosed,Bangalore/Bengaluru,"Project Role :Application Lead Project Role Description :Lead the effort to design, bui...",SAP implementation,Accounting,SAP FI,functional specifications,design documents,oil,educational qualification,gas,5 Days Ago
2088,Advanced Embedded System Engineering-Software Development Engineer,https://www.naukri.com/job-listings-advanced-embedded-system-engineering-software-development-engineer-accenture-solutions-pvt-ltd-bangalore-bengaluru-5-to-10-years-250124911770,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,45798  Reviews,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,"Project Role :Software Development Engineer Project Role Description :Analyze, design, ...",AUTOSAR,Embedded C,Ethernet,MATLAB,Automotive,System engineering,Architecture,Programming,5 Days Ago
2089,Node.js-Software Development Engineer,https://www.naukri.com/job-listings-node-js-software-development-engineer-accenture-solutions-pvt-ltd-bangalore-bengaluru-5-to-10-years-250124911763,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,45798  Reviews,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,"Project Role :Software Development Engineer Project Role Description :Analyze, design, ...",VMware,Coding,SAP CRM,Oracle,SQL,TPS,Entity framework,MongoDB,5 Days Ago
2090,React.js-Application Developer,https://www.naukri.com/job-listings-react-js-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-2-to-5-years-250124911759,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,45798  Reviews,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,responsiveness. Educational Qualification:15 years of full term educationAdditional Inf...,Front end,GIT,SSI,Javascript,JIRA,jenkins,End,Development,5 Days Ago
2091,Solution Architecture-Solution Architect,https://www.naukri.com/job-listings-solution-architecture-solution-architect-accenture-solutions-pvt-ltd-bangalore-bengaluru-12-to-14-years-250124911758,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,45798  Reviews,12-14 Yrs,Not disclosed,Bangalore/Bengaluru,Project Role :Solution Architect Project Role Description :Own the overall solution blu...,Solution design,educational qualification,diploma,Design,Education,Architecture,Development,Development,5 Days Ago
2092,Microsoft Azure Machine Learning-Application Lead,https://www.naukri.com/job-listings-microsoft-azure-machine-learning-application-lead-accenture-solutions-pvt-ltd-bangalore-bengaluru-5-to-10-years-250124911754,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,45798  Reviews,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,"Project Role :Application Lead Project Role Description :Lead the effort to design, bui...",Computer vision,Machine learning,Hypothesis Testing,Data mining,Python,microsoft azure,Data processing,Predictive analytics,5 Days Ago
2093,IBM WebSphere MQ-Application Developer,https://www.naukri.com/job-listings-ibm-websphere-mq-application-developer-accenture-solutions-pvt-ltd-bangalore-bengaluru-5-to-10-years-250124911751,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Accenture,https://www.naukri.com/accenture-jobs-careers-7682,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,45798  Reviews,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,"Experience in designing, developing, and maintaining applications using IBM WebSphere M...",Websphere,Debugging,Application development,Troubleshooting,computer science,educational qualification,technical skills,Computer,5 Days Ago
