id_no,title,title_href,logoimage_src,comp_name,comp_name_href,rating_href,main_2,review,expwdth,ni_job_tuple_icon,locwdth,job_desc,dot_gt,dot_gt_2,dot_gt_3,dot_gt_4,dot_gt_5,dot_gt_6,dot_gt_7,dot_gt_8,job_post_day
21,NoSQL/Mongo DBA Admin,https://www.naukri.com/job-listings-nosql-mongo-dba-admin-telus-international-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-4-to-6-years-250124500365,https://img.naukimg.com/logo_images/groups/v1/250496.gif,TELUS International,https://www.naukri.com/telus-international-jobs-careers-1601,https://www.ambitionbox.com/reviews/telus-international-philippines-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,3.8,892  Reviews,4-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",. Additional . Must have 4-6 years of experience. Actively and consistently supports al...,BPO,Production support,Database design,Debugging,Disaster recovery,Agile,PLSQL,MongoDB,5 Days Ago
22,Solution Architect,https://www.naukri.com/job-listings-solution-architect-ford-global-business-services-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-2-to-3-years-220124502277,https://img.naukimg.com/logo_images/groups/v1/247012.gif,Ford,https://www.naukri.com/ford-jobs-careers-19589,https://www.ambitionbox.com/reviews/ford-motor-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.4,2736  Reviews,2-3 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",The right candidate will need to have strong technical acumen esp   on Java/Cloud b...,Business process,Backend,Enterprise architecture,TOGAF,GCP,Consulting,Agile,Application development,8 Days Ago
23,Software Engineer HTHD,https://www.naukri.com/job-listings-software-engineer-hthd-ford-global-business-services-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-4-years-220124502276,https://img.naukimg.com/logo_images/groups/v1/247012.gif,Ford,https://www.naukri.com/ford-jobs-careers-19589,https://www.ambitionbox.com/reviews/ford-motor-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.4,2736  Reviews,1-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Experience in any of the cloud environment Demonstrable experience working in a fast-pa...,spring boot,Web technologies,Data management,Coding,Enterprise architecture,Time management,Javascript,Agile,8 Days Ago
24,Senior Software Engineer,https://www.naukri.com/job-listings-senior-software-engineer-ford-global-business-services-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-2-to-5-years-220124502275,https://img.naukimg.com/logo_images/groups/v1/247012.gif,Ford,https://www.naukri.com/ford-jobs-careers-19589,https://www.ambitionbox.com/reviews/ford-motor-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.4,2736  Reviews,2-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Bachelor s degree in computer science or equivalent . 4+ years experience in mainframe ...,JCL,Application support,Production support,Db2,Coding,Cobol,Agile,Teradata,8 Days Ago
25,FCSD Tech - Full Stack Software Engineer SG7 HTHD,https://www.naukri.com/job-listings-fcsd-tech-full-stack-software-engineer-sg7-hthd-ford-global-business-services-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-3-to-7-years-220124502273,https://img.naukimg.com/logo_images/groups/v1/247012.gif,Ford,https://www.naukri.com/ford-jobs-careers-19589,https://www.ambitionbox.com/reviews/ford-motor-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.4,2736  Reviews,3-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","Continuous integration / continuous delivery tools and pipelines, such as: (Tekton, Ter...",Object oriented design,Maven,Core Java,Data analysis,Machine learning,Agile,Customer service,Unit testing,8 Days Ago
26,FCSD Tech - Engineering Manager,https://www.naukri.com/job-listings-fcsd-tech-engineering-manager-ford-global-business-services-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-3-to-8-years-220124502271,https://img.naukimg.com/logo_images/groups/v1/247012.gif,Ford,https://www.naukri.com/ford-jobs-careers-19589,https://www.ambitionbox.com/reviews/ford-motor-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.4,2736  Reviews,3-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Provide engineering leadership to multiple product lines within FCSD.   Help busines...,Architecture,Coding,Technical Expert,Cloud Services,Agile,Manager Technology,Management,Teaching,8 Days Ago
27,Senior Technical Specialist,https://www.naukri.com/job-listings-senior-technical-specialist-nokia-solutions-and-networks-india-p-ltd-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-5-to-8-years-220124501843,https://img.naukimg.com/logo_images/groups/v1/36136.gif,Nokia,https://www.naukri.com/nokia-jobs-careers-173783,https://www.ambitionbox.com/reviews/nokia-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.2,1980  Reviews,5-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Exposure to Robot framework preferred. Additional skillsets as assets: . Good understan...,Automation,Networking,Ethernet,Consulting,Perl,Firmware,SCM,SDLC,8 Days Ago
28,R&D Engineer SW,https://www.naukri.com/job-listings-r-d-engineer-sw-nokia-solutions-and-networks-india-p-ltd-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-3-to-5-years-220124501842,https://img.naukimg.com/logo_images/groups/v1/36136.gif,Nokia,https://www.naukri.com/nokia-jobs-careers-173783,https://www.ambitionbox.com/reviews/nokia-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.2,1980  Reviews,3-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Experience in Cloud technologies and telecom environment . Some knowledge and experienc...,Telecom,Linux,devops,Javascript,Programming,HTML,Apache,Operations,8 Days Ago
29,Customer Documentation Developer,https://www.naukri.com/job-listings-customer-documentation-developer-nokia-solutions-and-networks-india-p-ltd-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-2-to-5-years-220124501840,https://img.naukimg.com/logo_images/groups/v1/36136.gif,Nokia,https://www.naukri.com/nokia-jobs-careers-173783,https://www.ambitionbox.com/reviews/nokia-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4.2,1980  Reviews,2-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",The candidate must have a Bachelors degree in Engineering Experience in working in the ...,Unix,PLM,Content management,Manager Quality Assurance,XML,Consulting,Agile,Telecommunication,8 Days Ago
30,Sr.Cyber Security Engineer,https://www.naukri.com/job-listings-sr-cyber-security-engineer-mclaren-strategic-solutions-mss-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-3-to-7-years-220124501756,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Mclaren Strategic Solutions (mss),https://www.naukri.com/mclaren-strategic-solutions-mss-jobs-careers-124066566,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,45798  Reviews,3-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",. Bachelors in Computer Science or Computer Engineering or related fieldQualifications:...,Manager Quality Assurance,ISO,Coding,SOC,Workflow,Healthcare,Application development,Selenium,8 Days Ago
31,SQL Application Developer - Front Office Solutions,https://www.naukri.com/job-listings-sql-application-developer-front-office-solutions-mclaren-strategic-solutions-mss-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-3-to-5-years-220124501753,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Mclaren Strategic Solutions (mss),https://www.naukri.com/mclaren-strategic-solutions-mss-jobs-careers-124066566,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,45798  Reviews,3-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","Setting clear and measurable performance objectives and monitoring progress rigorously,...",Order management,Front office,C++,Underwriting,Back office,Windows,Analytics,Monitoring,8 Days Ago
32,Senior Developer - Data Engineer,https://www.naukri.com/job-listings-senior-developer-data-engineer-mclaren-strategic-solutions-mss-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-3-to-7-years-220124501752,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Mclaren Strategic Solutions (mss),https://www.naukri.com/mclaren-strategic-solutions-mss-jobs-careers-124066566,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,45798  Reviews,3-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Bachelor s degree in computer science or relevant field . Troubleshoot and optimize dat...,Manager Quality Assurance,Coding,Engineering Manager,Healthcare,Application development,Selenium,Data warehousing,Analytics,8 Days Ago
33,DevOps Lead,https://www.naukri.com/job-listings-devops-lead-mclaren-strategic-solutions-mss-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-5-to-8-years-220124501748,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Mclaren Strategic Solutions (mss),https://www.naukri.com/mclaren-strategic-solutions-mss-jobs-careers-124066566,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,45798  Reviews,5-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Well versed in developing cloud strategy and manage the adaption process . Deep underst...,Automation,Manager Quality Assurance,Linux,Networking,Configuration management,Network security,Application development,Selenium,8 Days Ago
34,Blockchain Developer,https://www.naukri.com/job-listings-blockchain-developer-mclaren-strategic-solutions-mss-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-4-to-7-years-220124501747,https://www.naukri.com/hotjobs/images/v3/Accen_nov20.gif,Mclaren Strategic Solutions (mss),https://www.naukri.com/mclaren-strategic-solutions-mss-jobs-careers-124066566,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri,4,45798  Reviews,4-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","Design, develop, and implement blockchain solutions with a primary focus on Hyperle...",IT services,Manager Quality Assurance,Postgresql,Network security,Healthcare,Application development,Selenium,Information technology,8 Days Ago
